series_id	year	period	value	footnote_codes
LAUCN010010000000006	2018	M13	25957	
LAUCN010030000000006	2018	M13	93849	
LAUCN010050000000006	2018	M13	8373	
LAUCN010070000000006	2018	M13	8661	
LAUCN010090000000006	2018	M13	25006	
LAUCN010110000000006	2018	M13	4776	
LAUCN010130000000006	2018	M13	8914	
LAUCN010150000000006	2018	M13	45972	
LAUCN010170000000006	2018	M13	15276	
LAUCN010190000000006	2018	M13	11622	
LAUCN010210000000006	2018	M13	19476	
LAUCN010230000000006	2018	M13	4694	
LAUCN010250000000006	2018	M13	7627	
LAUCN010270000000006	2018	M13	5963	
LAUCN010290000000006	2018	M13	5743	
LAUCN010310000000006	2018	M13	20817	
LAUCN010330000000006	2018	M13	23258	
LAUCN010350000000006	2018	M13	4494	
LAUCN010370000000006	2018	M13	4376	
LAUCN010390000000006	2018	M13	15617	
LAUCN010410000000006	2018	M13	6298	
LAUCN010430000000006	2018	M13	37830	
LAUCN010450000000006	2018	M13	20120	
LAUCN010470000000006	2018	M13	14860	
LAUCN010490000000006	2018	M13	30129	
LAUCN010510000000006	2018	M13	37215	
LAUCN010530000000006	2018	M13	14352	
LAUCN010550000000006	2018	M13	43096	
LAUCN010570000000006	2018	M13	6482	
LAUCN010590000000006	2018	M13	14203	
LAUCN010610000000006	2018	M13	10851	
LAUCN010630000000006	2018	M13	2838	
LAUCN010650000000006	2018	M13	5991	
LAUCN010670000000006	2018	M13	6766	
LAUCN010690000000006	2018	M13	45150	
LAUCN010710000000006	2018	M13	23241	
LAUCN010730000000006	2018	M13	314014	
LAUCN010750000000006	2018	M13	5721	
LAUCN010770000000006	2018	M13	42141	
LAUCN010790000000006	2018	M13	13919	
LAUCN010810000000006	2018	M13	74654	
LAUCN010830000000006	2018	M13	42393	
LAUCN010850000000006	2018	M13	3625	
LAUCN010870000000006	2018	M13	7816	
LAUCN010890000000006	2018	M13	179752	
LAUCN010910000000006	2018	M13	7589	
LAUCN010930000000006	2018	M13	12549	
LAUCN010950000000006	2018	M13	42598	
LAUCN010970000000006	2018	M13	187406	
LAUCN010990000000006	2018	M13	7158	
LAUCN011010000000006	2018	M13	105579	
LAUCN011030000000006	2018	M13	56339	
LAUCN011050000000006	2018	M13	3397	
LAUCN011070000000006	2018	M13	7805	
LAUCN011090000000006	2018	M13	15230	
LAUCN011110000000006	2018	M13	9538	
LAUCN011130000000006	2018	M13	23753	
LAUCN011150000000006	2018	M13	39683	
LAUCN011170000000006	2018	M13	112891	
LAUCN011190000000006	2018	M13	4768	
LAUCN011210000000006	2018	M13	34978	
LAUCN011230000000006	2018	M13	17772	
LAUCN011250000000006	2018	M13	101569	
LAUCN011270000000006	2018	M13	25132	
LAUCN011290000000006	2018	M13	6667	
LAUCN011310000000006	2018	M13	2734	
LAUCN011330000000006	2018	M13	9781	
LAUCN020130000000006	2018	M13	2321	
LAUCN020160000000006	2018	M13	3615	
LAUCN020200000000006	2018	M13	151950	
LAUCN020500000000006	2018	M13	7400	
LAUCN020600000000006	2018	M13	441	
LAUCN020630000000006	2018	M13	#N/A	
LAUCN020660000000006	2018	M13	#N/A	
LAUCN020680000000006	2018	M13	1088	
LAUCN020700000000006	2018	M13	2027	
LAUCN020900000000006	2018	M13	46101	
LAUCN021000000000006	2018	M13	1092	
LAUCN021050000000006	2018	M13	1158	
LAUCN021100000000006	2018	M13	17232	
LAUCN021220000000006	2018	M13	26497	
LAUCN021300000000006	2018	M13	7026	
LAUCN021500000000006	2018	M13	6210	
LAUCN021580000000006	2018	M13	2708	
LAUCN021640000000006	2018	M13	739	
LAUCN021700000000006	2018	M13	47654	
LAUCN021800000000006	2018	M13	4113	
LAUCN021850000000006	2018	M13	3413	
LAUCN021880000000006	2018	M13	2924	
LAUCN021950000000006	2018	M13	1404	
LAUCN021980000000006	2018	M13	2899	
LAUCN022200000000006	2018	M13	4408	
LAUCN022300000000006	2018	M13	836	
LAUCN022400000000006	2018	M13	2940	
LAUCN022750000000006	2018	M13	1051	
LAUCN022820000000006	2018	M13	245	
LAUCN022900000000006	2018	M13	2545	
LAUCN040010000000006	2018	M13	20665	
LAUCN040030000000006	2018	M13	49774	
LAUCN040050000000006	2018	M13	77083	
LAUCN040070000000006	2018	M13	21518	
LAUCN040090000000006	2018	M13	14878	
LAUCN040110000000006	2018	M13	4280	
LAUCN040120000000006	2018	M13	8938	
LAUCN040130000000006	2018	M13	2229526	
LAUCN040150000000006	2018	M13	85442	
LAUCN040170000000006	2018	M13	40598	
LAUCN040190000000006	2018	M13	486261	
LAUCN040210000000006	2018	M13	178216	
LAUCN040230000000006	2018	M13	19325	
LAUCN040250000000006	2018	M13	105618	
LAUCN040270000000006	2018	M13	97636	
LAUCN050010000000006	2018	M13	9070	
LAUCN050030000000006	2018	M13	7683	
LAUCN050050000000006	2018	M13	16463	
LAUCN050070000000006	2018	M13	134404	
LAUCN050090000000006	2018	M13	15856	
LAUCN050110000000006	2018	M13	4362	
LAUCN050130000000006	2018	M13	2404	
LAUCN050150000000006	2018	M13	12639	
LAUCN050170000000006	2018	M13	3340	
LAUCN050190000000006	2018	M13	9580	
LAUCN050210000000006	2018	M13	5835	
LAUCN050230000000006	2018	M13	9174	
LAUCN050250000000006	2018	M13	3302	
LAUCN050270000000006	2018	M13	8991	
LAUCN050290000000006	2018	M13	8198	
LAUCN050310000000006	2018	M13	54120	
LAUCN050330000000006	2018	M13	26861	
LAUCN050350000000006	2018	M13	21467	
LAUCN050370000000006	2018	M13	7441	
LAUCN050390000000006	2018	M13	2811	
LAUCN050410000000006	2018	M13	5443	
