series_id	year	period	value	footnote_codes
LAUCN010010000000006	2022	M01	26530	
LAUCN010010000000006	2022	M02	26726	
LAUCN010010000000006	2022	M03	26649	
LAUCN010010000000006	2022	M04	26626	
LAUCN010010000000006	2022	M05	26916	
LAUCN010010000000006	2022	M06	27186	
LAUCN010010000000006	2022	M07	27286	
LAUCN010010000000006	2022	M08	27351	
LAUCN010010000000006	2022	M09	26894	
LAUCN010010000000006	2022	M10	26962	
LAUCN010010000000006	2022	M11	26904	
LAUCN010030000000006	2022	M01	99644	
LAUCN010030000000006	2022	M02	100917	
LAUCN010030000000006	2022	M03	101024	
LAUCN010030000000006	2022	M04	100545	
LAUCN010030000000006	2022	M05	101761	
LAUCN010030000000006	2022	M06	102912	
LAUCN010030000000006	2022	M07	102906	
LAUCN010030000000006	2022	M08	102171	
LAUCN010030000000006	2022	M09	99788	
LAUCN010030000000006	2022	M10	100496	
LAUCN010030000000006	2022	M11	99501	
LAUCN010050000000006	2022	M01	8056	
LAUCN010050000000006	2022	M02	8028	
LAUCN010050000000006	2022	M03	8339	
LAUCN010050000000006	2022	M04	8197	
LAUCN010050000000006	2022	M05	8220	
LAUCN010050000000006	2022	M06	8176	
LAUCN010050000000006	2022	M07	8264	
LAUCN010050000000006	2022	M08	8273	
LAUCN010050000000006	2022	M09	8560	
LAUCN010050000000006	2022	M10	8793	
LAUCN010050000000006	2022	M11	8724	
LAUCN010070000000006	2022	M01	8630	
LAUCN010070000000006	2022	M02	8717	
LAUCN010070000000006	2022	M03	8695	
LAUCN010070000000006	2022	M04	8674	
LAUCN010070000000006	2022	M05	8769	
LAUCN010070000000006	2022	M06	8877	
LAUCN010070000000006	2022	M07	8910	
LAUCN010070000000006	2022	M08	8888	
LAUCN010070000000006	2022	M09	8812	
LAUCN010070000000006	2022	M10	8815	
LAUCN010070000000006	2022	M11	8728	
LAUCN010090000000006	2022	M01	25430	
LAUCN010090000000006	2022	M02	25632	
LAUCN010090000000006	2022	M03	25579	
LAUCN010090000000006	2022	M04	25537	
LAUCN010090000000006	2022	M05	25868	
LAUCN010090000000006	2022	M06	26238	
LAUCN010090000000006	2022	M07	26388	
LAUCN010090000000006	2022	M08	26276	
LAUCN010090000000006	2022	M09	26020	
LAUCN010090000000006	2022	M10	26208	
LAUCN010090000000006	2022	M11	25851	
LAUCN010110000000006	2022	M01	4496	
LAUCN010110000000006	2022	M02	4476	
LAUCN010110000000006	2022	M03	4508	
LAUCN010110000000006	2022	M04	4435	
LAUCN010110000000006	2022	M05	4469	
LAUCN010110000000006	2022	M06	4360	
LAUCN010110000000006	2022	M07	4517	
LAUCN010110000000006	2022	M08	4485	
LAUCN010110000000006	2022	M09	4575	
LAUCN010110000000006	2022	M10	4783	
LAUCN010110000000006	2022	M11	4642	
LAUCN010130000000006	2022	M01	8622	
LAUCN010130000000006	2022	M02	8642	
LAUCN010130000000006	2022	M03	8877	
LAUCN010130000000006	2022	M04	8738	
LAUCN010130000000006	2022	M05	8759	
LAUCN010130000000006	2022	M06	8731	
LAUCN010130000000006	2022	M07	8818	
LAUCN010130000000006	2022	M08	8819	
LAUCN010130000000006	2022	M09	9010	
LAUCN010130000000006	2022	M10	9096	
LAUCN010130000000006	2022	M11	9023	
LAUCN010150000000006	2022	M01	46295	
LAUCN010150000000006	2022	M02	46885	
LAUCN010150000000006	2022	M03	46791	
LAUCN010150000000006	2022	M04	46399	
