series_id	year	period	value	footnote_codes
LAUCN010250000000006	2023	M01	7664	
LAUCN010250000000006	2023	M02	7577	
LAUCN010250000000006	2023	M03	7622	
LAUCN010250000000006	2023	M04	7614	
LAUCN010250000000006	2023	M05	7669	
LAUCN010250000000006	2023	M06	7656	
LAUCN010250000000006	2023	M07	7557	
LAUCN010250000000006	2023	M08	7551	
LAUCN010250000000006	2023	M09	7514	
LAUCN010250000000006	2023	M10	7555	
LAUCN010250000000006	2023	M11	7582	
LAUCN010270000000006	2023	M01	6037	
LAUCN010270000000006	2023	M02	5997	
LAUCN010270000000006	2023	M03	5884	
LAUCN010270000000006	2023	M04	5898	
LAUCN010270000000006	2023	M05	5910	
LAUCN010270000000006	2023	M06	5925	
LAUCN010270000000006	2023	M07	5942	
LAUCN010270000000006	2023	M08	5984	
LAUCN010270000000006	2023	M09	6035	
LAUCN010270000000006	2023	M10	6108	
LAUCN010270000000006	2023	M11	6098	
LAUCN010290000000006	2023	M01	6087	
LAUCN010290000000006	2023	M02	5969	
LAUCN010290000000006	2023	M03	6050	
LAUCN010290000000006	2023	M04	6078	
LAUCN010290000000006	2023	M05	6122	
LAUCN010290000000006	2023	M06	6146	
LAUCN010290000000006	2023	M07	6226	
LAUCN010290000000006	2023	M08	6228	
LAUCN010290000000006	2023	M09	6233	
LAUCN010290000000006	2023	M10	6355	
LAUCN010290000000006	2023	M11	6335	
LAUCN010310000000006	2023	M01	21450	
LAUCN010310000000006	2023	M02	21311	
LAUCN010310000000006	2023	M03	21580	
LAUCN010310000000006	2023	M04	21738	
LAUCN010310000000006	2023	M05	21834	
LAUCN010310000000006	2023	M06	21684	
LAUCN010310000000006	2023	M07	21747	
LAUCN010310000000006	2023	M08	21892	
LAUCN010310000000006	2023	M09	21733	
LAUCN010310000000006	2023	M10	21933	
LAUCN010310000000006	2023	M11	21924	
LAUCN010330000000006	2023	M01	23689	
LAUCN010330000000006	2023	M02	23772	
LAUCN010330000000006	2023	M03	23802	
LAUCN010330000000006	2023	M04	23853	
LAUCN010330000000006	2023	M05	23921	
LAUCN010330000000006	2023	M06	23981	
LAUCN010330000000006	2023	M07	23891	
LAUCN010330000000006	2023	M08	23909	
LAUCN010330000000006	2023	M09	23934	
LAUCN010330000000006	2023	M10	24043	
LAUCN010330000000006	2023	M11	24076	
LAUCN010350000000006	2023	M01	4167	
LAUCN010350000000006	2023	M02	4110	
LAUCN010350000000006	2023	M03	4134	
LAUCN010350000000006	2023	M04	4180	
LAUCN010350000000006	2023	M05	4209	
LAUCN010350000000006	2023	M06	4255	
LAUCN010350000000006	2023	M07	4288	
LAUCN010350000000006	2023	M08	4296	
LAUCN010350000000006	2023	M09	4188	
LAUCN010350000000006	2023	M10	4238	
LAUCN010350000000006	2023	M11	4241	
LAUCN010370000000006	2023	M01	4456	
LAUCN010370000000006	2023	M02	4470	
LAUCN010370000000006	2023	M03	4516	
LAUCN010370000000006	2023	M04	4535	
LAUCN010370000000006	2023	M05	4574	
LAUCN010370000000006	2023	M06	4647	
LAUCN010370000000006	2023	M07	4647	
LAUCN010370000000006	2023	M08	4665	
LAUCN010370000000006	2023	M09	4607	
LAUCN010370000000006	2023	M10	4661	
LAUCN010370000000006	2023	M11	4638	
LAUCN010390000000006	2023	M01	14711	
LAUCN010390000000006	2023	M02	14456	
LAUCN010390000000006	2023	M03	14396	
LAUCN010390000000006	2023	M04	14545	
LAUCN010390000000006	2023	M05	14673	
LAUCN010390000000006	2023	M06	15032	
LAUCN010390000000006	2023	M07	15071	
LAUCN010390000000006	2023	M08	15082	
LAUCN010390000000006	2023	M09	14925	
LAUCN010390000000006	2023	M10	15146	
LAUCN010390000000006	2023	M11	15092	
LAUCN010410000000006	2023	M01	5805	
LAUCN010410000000006	2023	M02	5630	
LAUCN010410000000006	2023	M03	5664	
LAUCN010410000000006	2023	M04	5718	
LAUCN010410000000006	2023	M05	5782	
LAUCN010410000000006	2023	M06	6033	
LAUCN010410000000006	2023	M07	6124	
LAUCN010410000000006	2023	M08	6167	
LAUCN010410000000006	2023	M09	6251	
LAUCN010410000000006	2023	M10	6452	
LAUCN010410000000006	2023	M11	6386	
LAUCN010430000000006	2023	M01	38585	
LAUCN010430000000006	2023	M02	38452	
LAUCN010430000000006	2023	M03	39611	
LAUCN010430000000006	2023	M04	39820	
LAUCN010430000000006	2023	M05	40030	
LAUCN010430000000006	2023	M06	40138	
LAUCN010430000000006	2023	M07	40005	
LAUCN010430000000006	2023	M08	39965	
LAUCN010430000000006	2023	M09	40233	
LAUCN010430000000006	2023	M10	40615	
