series_id	year	period	value	footnote_codes
LAUCN010010000000006	2023	M01	26537	
LAUCN010010000000006	2023	M02	26697	
LAUCN010010000000006	2023	M03	26857	
LAUCN010010000000006	2023	M04	26872	
LAUCN010010000000006	2023	M05	26899	
LAUCN010010000000006	2023	M06	26966	
LAUCN010010000000006	2023	M07	27148	
LAUCN010010000000006	2023	M08	27238	
LAUCN010010000000006	2023	M09	27120	
LAUCN010010000000006	2023	M10	27231	
LAUCN010010000000006	2023	M11	27323	
LAUCN010010000000006	2023	M12	27111	
LAUCN010030000000006	2023	M01	100742	
LAUCN010030000000006	2023	M02	101404	
LAUCN010030000000006	2023	M03	102867	
LAUCN010030000000006	2023	M04	103750	
LAUCN010030000000006	2023	M05	104328	
LAUCN010030000000006	2023	M06	106292	
LAUCN010030000000006	2023	M07	106789	
LAUCN010030000000006	2023	M08	106360	
LAUCN010030000000006	2023	M09	104680	
LAUCN010030000000006	2023	M10	105440	
LAUCN010030000000006	2023	M11	105681	
LAUCN010030000000006	2023	M12	104572	
LAUCN010050000000006	2023	M01	8005	
LAUCN010050000000006	2023	M02	7930	
LAUCN010050000000006	2023	M03	7864	
LAUCN010050000000006	2023	M04	7877	
LAUCN010050000000006	2023	M05	7858	
LAUCN010050000000006	2023	M06	8012	
LAUCN010050000000006	2023	M07	7990	
LAUCN010050000000006	2023	M08	8032	
LAUCN010050000000006	2023	M09	7877	
LAUCN010050000000006	2023	M10	7985	
LAUCN010050000000006	2023	M11	7963	
LAUCN010050000000006	2023	M12	7930	
LAUCN010070000000006	2023	M01	8649	
LAUCN010070000000006	2023	M02	8692	
LAUCN010070000000006	2023	M03	8688	
LAUCN010070000000006	2023	M04	8692	
LAUCN010070000000006	2023	M05	8709	
LAUCN010070000000006	2023	M06	8781	
LAUCN010070000000006	2023	M07	8836	
LAUCN010070000000006	2023	M08	8832	
LAUCN010070000000006	2023	M09	8793	
LAUCN010070000000006	2023	M10	8841	
LAUCN010070000000006	2023	M11	8900	
LAUCN010070000000006	2023	M12	8839	
LAUCN010090000000006	2023	M01	25481	
LAUCN010090000000006	2023	M02	25467	
LAUCN010090000000006	2023	M03	25477	
LAUCN010090000000006	2023	M04	25543	
LAUCN010090000000006	2023	M05	25584	
LAUCN010090000000006	2023	M06	25736	
LAUCN010090000000006	2023	M07	26049	
LAUCN010090000000006	2023	M08	26044	
LAUCN010090000000006	2023	M09	25954	
LAUCN010090000000006	2023	M10	26219	
LAUCN010090000000006	2023	M11	26331	
LAUCN010090000000006	2023	M12	26147	
LAUCN010110000000006	2023	M01	4458	
LAUCN010110000000006	2023	M02	4212	
LAUCN010110000000006	2023	M03	4203	
LAUCN010110000000006	2023	M04	4272	
LAUCN010110000000006	2023	M05	4298	
LAUCN010110000000006	2023	M06	4396	
LAUCN010110000000006	2023	M07	4562	
LAUCN010110000000006	2023	M08	4652	
LAUCN010110000000006	2023	M09	4664	
LAUCN010110000000006	2023	M10	4818	
LAUCN010110000000006	2023	M11	4751	
LAUCN010110000000006	2023	M12	4711	
LAUCN010130000000006	2023	M01	8870	
