series_id	year	period	value	footnote_codes
LAUCN050790000000006	2019	M13	3950	
LAUCN050810000000006	2019	M13	5518	
LAUCN050830000000006	2019	M13	8583	
LAUCN050850000000006	2019	M13	34468	
LAUCN050870000000006	2019	M13	7427	
LAUCN050890000000006	2019	M13	6673	
LAUCN050910000000006	2019	M13	19750	
LAUCN050930000000006	2019	M13	17358	
LAUCN050950000000006	2019	M13	2761	
LAUCN050970000000006	2019	M13	2970	
LAUCN050990000000006	2019	M13	3662	
LAUCN051010000000006	2019	M13	3335	
LAUCN051030000000006	2019	M13	9838	
LAUCN051050000000006	2019	M13	4275	
LAUCN051070000000006	2019	M13	6379	
LAUCN051090000000006	2019	M13	4250	
LAUCN051110000000006	2019	M13	10279	
LAUCN051130000000006	2019	M13	8121	
LAUCN051150000000006	2019	M13	28869	
LAUCN051170000000006	2019	M13	3586	
LAUCN051190000000006	2019	M13	190248	
LAUCN051210000000006	2019	M13	7301	
LAUCN051230000000006	2019	M13	8197	
LAUCN051250000000006	2019	M13	59114	
LAUCN051270000000006	2019	M13	4314	
LAUCN051290000000006	2019	M13	2914	
LAUCN051310000000006	2019	M13	56698	
LAUCN051330000000006	2019	M13	5513	
LAUCN051350000000006	2019	M13	5742	
LAUCN051370000000006	2019	M13	4726	
LAUCN051390000000006	2019	M13	15847	
LAUCN051410000000006	2019	M13	5741	
LAUCN051430000000006	2019	M13	124967	
LAUCN051450000000006	2019	M13	33800	
LAUCN051470000000006	2019	M13	2773	
LAUCN051490000000006	2019	M13	8417	
LAUCN060010000000006	2019	M13	844346	
LAUCN060030000000006	2019	M13	551	
LAUCN060050000000006	2019	M13	14900	
LAUCN060070000000006	2019	M13	99242	
LAUCN060090000000006	2019	M13	21428	
LAUCN060110000000006	2019	M13	10993	
LAUCN060130000000006	2019	M13	561757	
LAUCN060150000000006	2019	M13	9674	
LAUCN060170000000006	2019	M13	92022	
LAUCN060190000000006	2019	M13	450760	
LAUCN060210000000006	2019	M13	12997	
LAUCN060230000000006	2019	M13	62507	
LAUCN060250000000006	2019	M13	71411	
LAUCN060270000000006	2019	M13	8760	
LAUCN060290000000006	2019	M13	390999	
LAUCN060310000000006	2019	M13	57788	
LAUCN060330000000006	2019	M13	29158	
LAUCN060350000000006	2019	M13	9869	
LAUCN060370000000006	2019	M13	5121584	
LAUCN060390000000006	2019	M13	61945	
LAUCN060410000000006	2019	M13	139979	
LAUCN060430000000006	2019	M13	7612	
LAUCN060450000000006	2019	M13	38934	
LAUCN060470000000006	2019	M13	116226	
LAUCN060490000000006	2019	M13	3171	
LAUCN060510000000006	2019	M13	8508	
LAUCN060530000000006	2019	M13	222516	
LAUCN060550000000006	2019	M13	74004	
LAUCN060570000000006	2019	M13	48639	
LAUCN060590000000006	2019	M13	1623421	
LAUCN060610000000006	2019	M13	187932	
LAUCN060630000000006	2019	M13	7903	
LAUCN060650000000006	2019	M13	1104035	
LAUCN060670000000006	2019	M13	712394	
LAUCN060690000000006	2019	M13	31432	
LAUCN060710000000006	2019	M13	967719	
LAUCN060730000000006	2019	M13	1590591	
LAUCN060750000000006	2019	M13	583186	
LAUCN060770000000006	2019	M13	327077	
LAUCN060790000000006	2019	M13	140931	
LAUCN060810000000006	2019	M13	460044	
