series_id	year	period	value	footnote_codes
LAUCN010010000000006	2022	M01	26669	
LAUCN010010000000006	2022	M02	26643	
LAUCN010010000000006	2022	M03	26648	
LAUCN010010000000006	2022	M04	26615	
LAUCN010010000000006	2022	M05	26719	
LAUCN010010000000006	2022	M06	26815	
LAUCN010010000000006	2022	M07	26931	
LAUCN010010000000006	2022	M08	27025	
LAUCN010010000000006	2022	M09	26719	
LAUCN010010000000006	2022	M10	26873	
LAUCN010010000000006	2022	M11	26949	
LAUCN010010000000006	2022	M12	26860	
LAUCN010030000000006	2022	M01	100294	
LAUCN010030000000006	2022	M02	100785	
LAUCN010030000000006	2022	M03	101836	
LAUCN010030000000006	2022	M04	102295	
LAUCN010030000000006	2022	M05	103596	
LAUCN010030000000006	2022	M06	105188	
LAUCN010030000000006	2022	M07	105485	
LAUCN010030000000006	2022	M08	104243	
LAUCN010030000000006	2022	M09	102370	
LAUCN010030000000006	2022	M10	103176	
LAUCN010030000000006	2022	M11	102495	
LAUCN010030000000006	2022	M12	102420	
LAUCN010050000000006	2022	M01	8106	
LAUCN010050000000006	2022	M02	8181	
LAUCN010050000000006	2022	M03	8142	
LAUCN010050000000006	2022	M04	8280	
LAUCN010050000000006	2022	M05	8262	
LAUCN010050000000006	2022	M06	8346	
LAUCN010050000000006	2022	M07	8229	
LAUCN010050000000006	2022	M08	8323	
LAUCN010050000000006	2022	M09	8180	
LAUCN010050000000006	2022	M10	8328	
LAUCN010050000000006	2022	M11	8248	
LAUCN010050000000006	2022	M12	8265	
LAUCN010070000000006	2022	M01	8679	
LAUCN010070000000006	2022	M02	8716	
LAUCN010070000000006	2022	M03	8737	
LAUCN010070000000006	2022	M04	8692	
LAUCN010070000000006	2022	M05	8727	
LAUCN010070000000006	2022	M06	8773	
LAUCN010070000000006	2022	M07	8799	
LAUCN010070000000006	2022	M08	8783	
LAUCN010070000000006	2022	M09	8703	
LAUCN010070000000006	2022	M10	8732	
LAUCN010070000000006	2022	M11	8667	
LAUCN010070000000006	2022	M12	8698	
LAUCN010090000000006	2022	M01	25625	
LAUCN010090000000006	2022	M02	25674	
LAUCN010090000000006	2022	M03	25745	
LAUCN010090000000006	2022	M04	25625	
LAUCN010090000000006	2022	M05	25777	
LAUCN010090000000006	2022	M06	25972	
LAUCN010090000000006	2022	M07	26085	
LAUCN010090000000006	2022	M08	25965	
LAUCN010090000000006	2022	M09	25722	
LAUCN010090000000006	2022	M10	25990	
LAUCN010090000000006	2022	M11	25685	
LAUCN010090000000006	2022	M12	25680	
LAUCN010110000000006	2022	M01	4472	
LAUCN010110000000006	2022	M02	4439	
LAUCN010110000000006	2022	M03	4402	
LAUCN010110000000006	2022	M04	4405	
LAUCN010110000000006	2022	M05	4432	
LAUCN010110000000006	2022	M06	4542	
LAUCN010110000000006	2022	M07	4676	
LAUCN010110000000006	2022	M08	4657	
LAUCN010110000000006	2022	M09	4603	
LAUCN010110000000006	2022	M10	4783	
LAUCN010110000000006	2022	M11	4650	
LAUCN010110000000006	2022	M12	4588	
LAUCN010130000000006	2022	M01	8672	
LAUCN010130000000006	2022	M02	8765	
LAUCN010130000000006	2022	M03	8659	
LAUCN010130000000006	2022	M04	8653	
LAUCN010130000000006	2022	M05	8780	
LAUCN010130000000006	2022	M06	8868	
LAUCN010130000000006	2022	M07	9018	
LAUCN010130000000006	2022	M08	9011	
LAUCN010130000000006	2022	M09	8846	
LAUCN010130000000006	2022	M10	8850	
LAUCN010130000000006	2022	M11	8779	
LAUCN010130000000006	2022	M12	8751	
LAUCN010150000000006	2022	M01	46059	
LAUCN010150000000006	2022	M02	46141	
LAUCN010150000000006	2022	M03	46290	
LAUCN010150000000006	2022	M04	46214	
LAUCN010150000000006	2022	M05	46195	
LAUCN010150000000006	2022	M06	46367	
LAUCN010150000000006	2022	M07	46177	
LAUCN010150000000006	2022	M08	46371	
LAUCN010150000000006	2022	M09	45876	
LAUCN010150000000006	2022	M10	45985	
LAUCN010150000000006	2022	M11	45985	
LAUCN010150000000006	2022	M12	46022	
LAUCN010170000000006	2022	M01	15916	
LAUCN010170000000006	2022	M02	16049	
LAUCN010170000000006	2022	M03	16002	
LAUCN010170000000006	2022	M04	15893	
LAUCN010170000000006	2022	M05	15905	
LAUCN010170000000006	2022	M06	15846	
