series_id	year	period	value	footnote_codes
LAUCN010010000000006	2020	M13	25838	
LAUCN010030000000006	2020	M13	96763	
LAUCN010050000000006	2020	M13	8587	
LAUCN010070000000006	2020	M13	8640	
LAUCN010090000000006	2020	M13	24661	
LAUCN010110000000006	2020	M13	4818	
LAUCN010130000000006	2020	M13	9056	
LAUCN010150000000006	2020	M13	46240	
LAUCN010170000000006	2020	M13	15865	
LAUCN010190000000006	2020	M13	11513	
LAUCN010210000000006	2020	M13	19592	
LAUCN010230000000006	2020	M13	4621	
LAUCN010250000000006	2020	M13	7769	
LAUCN010270000000006	2020	M13	6083	
LAUCN010290000000006	2020	M13	5737	
LAUCN010310000000006	2020	M13	21502	
LAUCN010330000000006	2020	M13	23558	
LAUCN010350000000006	2020	M13	4529	
LAUCN010370000000006	2020	M13	4392	
LAUCN010390000000006	2020	M13	15172	
LAUCN010410000000006	2020	M13	6253	
LAUCN010430000000006	2020	M13	38310	
LAUCN010450000000006	2020	M13	20710	
LAUCN010470000000006	2020	M13	14619	
LAUCN010490000000006	2020	M13	30736	
LAUCN010510000000006	2020	M13	36620	
LAUCN010530000000006	2020	M13	14453	
LAUCN010550000000006	2020	M13	40724	
LAUCN010570000000006	2020	M13	6562	
LAUCN010590000000006	2020	M13	14424	
LAUCN010610000000006	2020	M13	10835	
LAUCN010630000000006	2020	M13	3015	
LAUCN010650000000006	2020	M13	6075	
LAUCN010670000000006	2020	M13	6814	
LAUCN010690000000006	2020	M13	46358	
LAUCN010710000000006	2020	M13	22840	
LAUCN010730000000006	2020	M13	315957	
LAUCN010750000000006	2020	M13	5730	
LAUCN010770000000006	2020	M13	41931	
LAUCN010790000000006	2020	M13	14363	
LAUCN010810000000006	2020	M13	75564	
LAUCN010830000000006	2020	M13	44624	
LAUCN010850000000006	2020	M13	3661	
LAUCN010870000000006	2020	M13	8063	
LAUCN010890000000006	2020	M13	187247	
LAUCN010910000000006	2020	M13	7766	
LAUCN010930000000006	2020	M13	13034	
LAUCN010950000000006	2020	M13	44275	
LAUCN010970000000006	2020	M13	190882	
LAUCN010990000000006	2020	M13	7474	
LAUCN011010000000006	2020	M13	107103	
LAUCN011030000000006	2020	M13	58899	
LAUCN011050000000006	2020	M13	3437	
LAUCN011070000000006	2020	M13	7660	
LAUCN011090000000006	2020	M13	15636	
LAUCN011110000000006	2020	M13	9414	
LAUCN011130000000006	2020	M13	23500	
LAUCN011150000000006	2020	M13	40132	
LAUCN011170000000006	2020	M13	114048	
LAUCN011190000000006	2020	M13	4745	
LAUCN011210000000006	2020	M13	36123	
LAUCN011230000000006	2020	M13	17864	
LAUCN011250000000006	2020	M13	102222	
LAUCN011270000000006	2020	M13	24877	
LAUCN011290000000006	2020	M13	6729	
LAUCN011310000000006	2020	M13	2871	
LAUCN011330000000006	2020	M13	10017	
LAUCN020130000000006	2020	M13	2523	
LAUCN020160000000006	2020	M13	3732	
LAUCN020200000000006	2020	M13	148392	
LAUCN020500000000006	2020	M13	6963	
LAUCN020600000000006	2020	M13	417	
LAUCN020680000000006	2020	M13	680	
LAUCN020700000000006	2020	M13	1742	
LAUCN020900000000006	2020	M13	44679	
LAUCN021000000000006	2020	M13	1018	
LAUCN021050000000006	2020	M13	1050	
LAUCN021100000000006	2020	M13	16374	
LAUCN021220000000006	2020	M13	26341	
LAUCN021300000000006	2020	M13	6520	
LAUCN021500000000006	2020	M13	6090	
LAUCN021580000000006	2020	M13	2299	
