series_id	year	period	value	footnote_codes
LAUCN010010000000006	2021	M13	26341	
LAUCN010030000000006	2021	M13	99427	
LAUCN010050000000006	2021	M13	8197	
LAUCN010070000000006	2021	M13	8560	
LAUCN010090000000006	2021	M13	25127	
LAUCN010110000000006	2021	M13	4606	
LAUCN010130000000006	2021	M13	8796	
LAUCN010150000000006	2021	M13	46118	
LAUCN010170000000006	2021	M13	15752	
LAUCN010190000000006	2021	M13	11808	
LAUCN010210000000006	2021	M13	19811	
LAUCN010230000000006	2021	M13	4591	
LAUCN010250000000006	2021	M13	7726	
LAUCN010270000000006	2021	M13	6095	
LAUCN010290000000006	2021	M13	5890	
LAUCN010310000000006	2021	M13	21853	
LAUCN010330000000006	2021	M13	23460	
LAUCN010350000000006	2021	M13	4376	
LAUCN010370000000006	2021	M13	4343	
LAUCN010390000000006	2021	M13	15215	
LAUCN010410000000006	2021	M13	6133	
LAUCN010430000000006	2021	M13	38858	
LAUCN010450000000006	2021	M13	20915	
LAUCN010470000000006	2021	M13	13959	
LAUCN010490000000006	2021	M13	31097	
LAUCN010510000000006	2021	M13	37582	
LAUCN010530000000006	2021	M13	14000	
LAUCN010550000000006	2021	M13	39262	
LAUCN010570000000006	2021	M13	6653	
LAUCN010590000000006	2021	M13	14304	
LAUCN010610000000006	2021	M13	10993	
LAUCN010630000000006	2021	M13	2897	
LAUCN010650000000006	2021	M13	5888	
LAUCN010670000000006	2021	M13	6881	
LAUCN010690000000006	2021	M13	46880	
LAUCN010710000000006	2021	M13	22975	
LAUCN010730000000006	2021	M13	317359	
LAUCN010750000000006	2021	M13	5691	
LAUCN010770000000006	2021	M13	42080	
LAUCN010790000000006	2021	M13	14378	
LAUCN010810000000006	2021	M13	76658	
LAUCN010830000000006	2021	M13	46572	
LAUCN010850000000006	2021	M13	3578	
LAUCN010870000000006	2021	M13	7948	
LAUCN010890000000006	2021	M13	192204	
LAUCN010910000000006	2021	M13	7709	
LAUCN010930000000006	2021	M13	13320	
LAUCN010950000000006	2021	M13	44714	
LAUCN010970000000006	2021	M13	191711	
LAUCN010990000000006	2021	M13	7356	
LAUCN011010000000006	2021	M13	106663	
LAUCN011030000000006	2021	M13	59256	
LAUCN011050000000006	2021	M13	3215	
LAUCN011070000000006	2021	M13	7501	
LAUCN011090000000006	2021	M13	16017	
LAUCN011110000000006	2021	M13	9408	
LAUCN011130000000006	2021	M13	23281	
LAUCN011150000000006	2021	M13	41195	
LAUCN011170000000006	2021	M13	118212	
LAUCN011190000000006	2021	M13	4520	
LAUCN011210000000006	2021	M13	35695	
LAUCN011230000000006	2021	M13	17910	
LAUCN011250000000006	2021	M13	101104	
LAUCN011270000000006	2021	M13	25085	
LAUCN011290000000006	2021	M13	6538	
LAUCN011310000000006	2021	M13	2644	
LAUCN011330000000006	2021	M13	10110	
LAUCN020130000000006	2021	M13	2558	
LAUCN020160000000006	2021	M13	3625	
LAUCN020200000000006	2021	M13	150276	
LAUCN020500000000006	2021	M13	6956	
LAUCN020600000000006	2021	M13	449	
LAUCN020630000000006	2021	M13	3412	
LAUCN020660000000006	2021	M13	1356	
LAUCN020680000000006	2021	M13	855	
LAUCN020700000000006	2021	M13	1709	
LAUCN020900000000006	2021	M13	45375	
LAUCN021000000000006	2021	M13	1024	
LAUCN021050000000006	2021	M13	1156	
LAUCN021100000000006	2021	M13	16734	
LAUCN021220000000006	2021	M13	27945	
LAUCN021300000000006	2021	M13	6604	
LAUCN021500000000006	2021	M13	6015	
LAUCN021580000000006	2021	M13	2347	
LAUCN021640000000006	2021	M13	649	
LAUCN021700000000006	2021	M13	49487	
LAUCN021800000000006	2021	M13	4088	
LAUCN021850000000006	2021	M13	2918	
LAUCN021880000000006	2021	M13	2914	
LAUCN021950000000006	2021	M13	1621	
LAUCN021980000000006	2021	M13	2832	
LAUCN022200000000006	2021	M13	4496	
LAUCN022300000000006	2021	M13	621	
LAUCN022400000000006	2021	M13	3219	
LAUCN022750000000006	2021	M13	946	
LAUCN022820000000006	2021	M13	308	
LAUCN022900000000006	2021	M13	2441	
LAUCN040010000000006	2021	M13	18700	
LAUCN040030000000006	2021	M13	49027	
LAUCN040050000000006	2021	M13	72223	
LAUCN040070000000006	2021	M13	20390	
LAUCN040090000000006	2021	M13	15695	
LAUCN040110000000006	2021	M13	4343	
LAUCN040120000000006	2021	M13	8616	
LAUCN040130000000006	2021	M13	2311889	
LAUCN040150000000006	2021	M13	87215	
LAUCN040170000000006	2021	M13	39276	
LAUCN040190000000006	2021	M13	480903	
LAUCN040210000000006	2021	M13	192406	
LAUCN040230000000006	2021	M13	18942	
LAUCN040250000000006	2021	M13	105108	
LAUCN040270000000006	2021	M13	93693	
LAUCN050010000000006	2021	M13	9424	
