series_id	year	period	value	footnote_codes
LAUCN010010000000006	2017	M13	25909	
LAUCN010030000000006	2017	M13	91567	
LAUCN010050000000006	2017	M13	8236	
LAUCN010070000000006	2017	M13	8506	
LAUCN010090000000006	2017	M13	24494	
LAUCN010110000000006	2017	M13	4812	
LAUCN010130000000006	2017	M13	8946	
LAUCN010150000000006	2017	M13	45582	
LAUCN010170000000006	2017	M13	15176	
LAUCN010190000000006	2017	M13	11174	
LAUCN010210000000006	2017	M13	19118	
LAUCN010230000000006	2017	M13	4336	
LAUCN010250000000006	2017	M13	7720	
LAUCN010270000000006	2017	M13	5721	
LAUCN010290000000006	2017	M13	5742	
LAUCN010310000000006	2017	M13	20671	
LAUCN010330000000006	2017	M13	23092	
LAUCN010350000000006	2017	M13	4446	
LAUCN010370000000006	2017	M13	4348	
LAUCN010390000000006	2017	M13	15646	
LAUCN010410000000006	2017	M13	6417	
LAUCN010430000000006	2017	M13	37637	
LAUCN010450000000006	2017	M13	19868	
LAUCN010470000000006	2017	M13	14935	
LAUCN010490000000006	2017	M13	29038	
LAUCN010510000000006	2017	M13	37236	
LAUCN010530000000006	2017	M13	14352	
LAUCN010550000000006	2017	M13	42894	
LAUCN010570000000006	2017	M13	6529	
LAUCN010590000000006	2017	M13	13960	
LAUCN010610000000006	2017	M13	10817	
LAUCN010630000000006	2017	M13	2833	
LAUCN010650000000006	2017	M13	6007	
LAUCN010670000000006	2017	M13	6697	
LAUCN010690000000006	2017	M13	44411	
LAUCN010710000000006	2017	M13	23066	
LAUCN010730000000006	2017	M13	309076	
LAUCN010750000000006	2017	M13	5703	
LAUCN010770000000006	2017	M13	41868	
LAUCN010790000000006	2017	M13	13640	
LAUCN010810000000006	2017	M13	73520	
LAUCN010830000000006	2017	M13	41092	
LAUCN010850000000006	2017	M13	3750	
LAUCN010870000000006	2017	M13	7892	
LAUCN010890000000006	2017	M13	175153	
LAUCN010910000000006	2017	M13	7623	
LAUCN010930000000006	2017	M13	12517	
LAUCN010950000000006	2017	M13	42108	
LAUCN010970000000006	2017	M13	186239	
